id,title,artist,genre
432,Shake Your Body,ALISHA/Julian Fijma,EDM
433,Edge of Desire,Jonas Blue/Malive,EDM
434,Ain't Nobody,Mr. Belt & Wezol/RUZE,EDM
435,Cocaine Inside My Blunts,Disco Lines,EDM
436,Vamos A La Playa (Feat. Miranda),Cloonee/Miranda,EDM
437,LA NOCHE,Chris Lake/Skrillex/Anita B Queen,EDM
438,No Broke Boys,Disco Lines/Tinashe,EDM
439,You & Me,Max Styler,EDM
440,Bailando,Pietro/Massianello,EDM
441,What U Need,RSquared,EDM
442,Bugatti,Tiga,EDM
443,Where's The Party At?,Locky/Luke Dean,EDM
444,ROCK THE RHYTHM,Dan Molinari,EDM
445,Through the Night,Anil Aras,EDM
446,Girls Like That,GREG 99,EDM
447,Dame Un Grrr (Provi Remix Radio Edit),Fantomel/Kate Linn/PROVI,EDM
448,Monologue,Bonafique,EDM
449,Power (Original Mix),Babes on the Run,EDM
450,Eyes On Me,Nicole Moudaber/Space 92,EDM
451,Think About Us,Sonny Fodera/D.O.D/Poppy Baskcomb,EDM
